FIPS,YPLL
37071,9267
37069,8298
37067,7677
37065,12204
37063,6104
37061,7384
37059,7772
37057,9019
37055,7251
37053,7122
37051,9400
37049,9835
37047,11746
37045,10470
37043,10264
37041,9837
37039,10654
37037,6198
37035,8343
37033,10091
37031,8751
37029,6289
37027,9025
37025,6642
37023,9784
37021,7416
37019,8737
37017,11128
37015,11007
37013,10202
37011,7901
37009,7387
37007,11388
37005,8240
37003,8855
37001,8078
37000,7668
36123,7491
36121,6456
36119,4258
36117,7147
36115,6950
36113,6571
36111,6534
36109,5338
36107,5846
36105,8085
36103,5814
36101,6917
36099,8160
36097,7036
36095,6061
36093,6797
36091,4950
36089,6605
36087,4357
36085,5567
36083,6570
36081,4306
36079,4831
36077,6269
36075,7397
36073,7556
36071,5849
36069,6166
36067,6622
36065,7265
36063,7692
36061,3925
36059,4292
36057,7649
36055,6447
36053,5430
36051,6185
36049,6933
36047,5111
36045,6534
36043,6537
36041,
36039,7900
36037,7910
36035,6695
36033,5946
36031,5262
36029,7178
36027,5753
36025,6851
36023,7018
36021,6839
36019,6221
36017,7863
36015,7969
36013,7996
36011,6466
36009,7255
36007,7415
36005,6696
36003,7283
36001,5821
36000,5456
35061,9286
35059,
35057,10623
35055,9717
35053,10862
35051,13859
35049,7128
35047,10235
35045,11750
35043,7312
35041,8467
35039,15167
35037,12317
35035,8769
35033,
35031,16330
35029,9737
35028,4614
35027,11849
35025,9375
35023,7686
35021,
35019,10238
35017,9293
35015,10317
35013,6812
35011,
35009,9096
35007,11431
35006,10721
35005,9997
35003,
35001,8174
35000,8914
34041,6821
34039,5179
34037,6387
34035,4492
34033,9425
34031,5823
34029,6849
34027,4032
34025,5608
34023,4977
34021,6163
34019,4441
34017,5084
34015,7475
34013,7289
34011,10215
34009,8785
34007,8529
34005,6639
34003,3827
34001,8918
34000,5906
33019,6524
33017,7362
33015,5588
33013,6400
33011,6809
33009,5563
33007,7969
33005,7299
33003,7678
33001,7494
33000,6530
32510,10026
32033,7202
32031,6943
32029,
32027,6843
32023,11506
32021,10732
32019,8005
32017,5784
32015,8814
32013,9342
32011,
32009,
32007,7180
32005,6073
32003,7167
32001,8859
32000,7270
31185,6967
31183,
31181,
31179,3487
31177,4633
31175,
31173,16596
31171,
31169,7484
31167,
31165,
31163,
31161,8398
31159,5411
31157,7424
31155,5987
31153,4883
31151,5901
31149,
31147,7603
31145,6658
31143,
31141,5280
31139,8885
31137,4783
31135,
31133,
31131,4864
31129,
31127,7626
31125,
31123,
31121,5579
31119,7492
31117,
31115,
31113,
31111,7488
31109,5411
31107,7027
31105,
31103,
31101,7369
31099,6943
31097,7718
31095,4778
31093,
31091,
31089,4770
31087,
31085,
31083,
31081,5047
31079,6880
31077,
31075,
31073,
31071,
31069,
31067,7768
31065,
31063,
31061,
31059,
31057,
31055,6440
31053,6973
31051,
31049,
31047,5770
31045,5948
31043,5596
31041,5834
31039,3837
31037,6303
31035,6058
31033,7123
31031,
31029,
31027,5715
31025,5415
31023,6342
31021,7165
31019,5302
31017,
31015,
31013,6182
31011,
31009,
31007,
31005,
31003,6363
31001,7241
31000,6093
30111,7198
30109,
30107,
30105,8163
30103,
30101,10274
30099,7706
30097,
30095,4106
30093,8686
30091,
30089,9974
30087,14406
30085,19912
30083,7790
30081,6658
30079,
30077,6894
30075,
30073,8215
30071,
30069,
30067,7525
30065,
30063,6134
30061,
30059,
30057,5491
30055,
30053,8382
30051,
30049,6903
30047,9607
30045,
30043,5995
30041,9359
30039,
30037,
30035,17637
30033,
30031,4171
30029,6259
30027,6500
30025,
30023,9949
30021,4842
30019,
30017,5894
30015,6912
30013,7299
30011,
30009,6990
30007,
30005,12509
30003,20451
30001,5051
30000,7232
29510,13079
29229,11933
29227,
29225,7345
29223,11487
29221,11721
29219,8638
29217,10820
29215,9142
29213,9152
29211,8450
29209,10914
29207,9398
29205,10711
29203,9513
29201,10534
29199,6924
29197,6729
29195,7229
29189,7989
29187,9846
29186,6836
29185,7401
29183,5871
29181,13345
29179,10088
29177,9367
29175,8695
29173,6193
29171,10450
29169,8119
29167,7627
29165,5605
29163,8647
29161,9475
29159,8301
29157,7183
29155,13774
29153,10574
29151,6395
29149,11503
29147,5824
29145,8721
29143,12632
29141,10004
29139,10163
29137,7445
29135,6338
29133,12793
29131,7908
29129,
29127,7365
29125,9350
29123,10438
29121,7948
29119,9848
29117,7884
29115,11047
29113,8428
29111,11213
29109,10420
29107,8343
29105,10052
29103,
29101,6379
29099,9149
29097,8948
29095,8821
29093,11316
29091,9109
29089,8748
29087,
29085,11469
29083,9205
29081,8131
29079,10612
29077,8399
29075,7715
29073,8832
29071,9129
29069,11932
29067,9797
29065,8963
29063,8235
29061,5601
29059,10347
29057,9152
29055,10310
29053,7482
29051,6854
29049,7330
29047,6010
29045,7161
29043,6094
29041,7324
29039,8988
29037,6768
29035,12845
29033,8736
29031,7873
29029,8301
29027,7314
29025,8044
29023,10608
29021,8762
29019,5845
29017,9664
29015,10032
29013,9028
29011,7563
29009,9525
29007,8793
29005,7886
29003,6468
29001,8412
29000,8374
28163,12434
28161,11657
28159,11355
28157,15252
28155,9510
28153,9780
28151,14715
28149,12175
28147,9173
28145,8424
28143,14291
28141,12996
28139,11757
28137,10471
28135,10689
28133,14360
28131,10400
28129,11048
28127,10360
28125,17603
28123,12938
28121,7444
28119,13903
28117,11773
28115,9294
28113,12688
28111,10008
28109,10773
28107,11921
28105,9026
28103,11551
28101,10957
28099,15511
28097,13697
28095,9734
28093,11740
28091,12534
28089,6987
28087,9740
28085,10745
28083,15320
28081,9676
28079,10556
28077,12821
28075,10772
28073,7007
28071,7285
28069,12184
28067,10883
28065,15359
28063,15171
28061,10982
28059,8942
28057,9619
28055,
28053,10771
28051,14318
28049,11072
28047,9728
28045,8531
28043,15062
28041,10193
28039,10557
28037,11467
28035,11468
28033,8275
28031,12149
28029,10401
28027,15128
28025,8195
28023,12226
28021,14651
28019,11561
28017,11033
28015,9995
28013,10057
28011,12420
28009,12917
28007,11154
28005,9703
28003,11918
28001,12506
28000,10383
27173,5858
27171,4161
27169,5747
27167,7044
27165,7539
27163,4338
27161,4556
27159,9952
27157,4010
27155,
27153,5425
27151,8940
27149,3808
27147,4881
27145,4914
