County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Percentile_ranks_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Percentile_ranks_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Percentile_ranks_Covid,Proportional_allocation_to_SVI,SVI,Percentile_ranks_SVI,Proportional_allocation_to_YPLL,YPLL,Percentile_ranks_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Percentile_ranks_Unemployment,Proportional_allocation_to_Unemployment_capita,Unemployment_capita,Percentile_ranks_Unemployment_capita,Proportional_allocation_to_Covid_capita,Covid_capita,Percentile_ranks_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Percentile_ranks_Covid_death_capita
48335,15.017975809360143,1145.532328216597,27.165354330708663,191.9005254959747,13405.878621610265,34.645669291338585,3.2772652317707327,11.0,10.62992125984252,277.2528283589394,0.004744238933593643,84.25196850393701,269.56930214970566,9903.0,83.85826771653544,13.082304605014624,253,28.74015748031496,316.6502551782282,10.6,88.18897637795276,33.929288145829645,128.73025160912815,2.7559055118110236,345.06999825514765,339.3797542422469,85.03937007874016
48347,142.67702246860887,10883.034025771336,79.92125984251969,238.92226834828173,16690.746006029287,59.44881889763779,61.67217299786741,207.0,61.41732283464567,291.7508075022326,0.004992322524001576,88.18897637795276,220.59877053632383,8104.0,35.43307086614173,109.51905594237539,2118,77.75590551181102,230.01952498795822,7.7,60.62992125984252,83.67394333262554,317.46518618489665,17.716535433070867,213.63263598560826,210.10980921415864,52.36220472440945
48355,903.4043966053564,68909.34936247817,96.06299212598425,272.26880721304695,19020.284454746194,75.59055118110236,519.297572634217,1743.0,92.51968503937007,251.75561458206553,0.004307940862210939,74.01574803149606,213.5213173848623,7844.0,30.708661417322833,825.1159469652899,15957,94.48818897637796,289.7648561536616,9.7,85.23622047244095,126.80324724727764,481.1009842834825,41.338582677165356,190.27854550506802,187.14083037533052,40.94488188976378
48359,1.325483293748689,101.10443529638577,3.543307086614173,68.52628293439535,4787.141822745539,1.1811023622047243,13.10906092708293,44.0,33.661417322834644,253.38143643317022,0.0043357612720900844,75.59055118110236,231.38485156186857,8500.241558457017,52.55905511811024,2.016639840298697,39,5.905511811023622,134.42699512283272,4.5,5.905511811023622,549.101831829762,2083.333333333333,90.55118110236221,144.42707362315033,142.04545454545456,22.440944881889763
48407,80.1542255936707,6113.956889149365,67.71653543307086,303.264779328253,21185.615888108965,87.4015748031496,49.15897847656099,165.0,55.31496062992126,194.8405651902344,0.003334033418848245,25.984251968503937,273.43468040935005,10045.0,85.8267716535433,57.65521594700121,1115,65.35433070866142,283.7903230370913,9.5,83.26771653543307,150.69428975680773,571.7453827228941,53.54330708661417,84.55732478383686,83.1629647596937,6.692913385826771
48431,2.4884073156225384,189.8092700375544,5.905511811023622,210.46120750282176,14702.499615612269,44.881889763779526,0.29793320288824837,1.0,1.3779527559055118,185.23947068476392,0.0031697433496447134,16.53543307086614,231.38485156186857,8500.241558457017,52.55905511811024,2.171765981860135,42,6.889763779527559,227.032258429673,7.6,59.25196850393701,20.415869812415625,77.45933384972889,1.1811023622047243,315.0322535420537,309.83733539891557,77.55905511811024
48453,1771.4709084169976,135123.2163273376,97.63779527559055,151.82983095302598,10606.600891973932,14.960629921259843,1560.8720499315334,5239.0,96.85039370078741,303.5699931749964,0.005194567677509999,91.73228346456693,125.70645635942044,4618.0,1.968503937007874,2327.512627987819,45012,98.4251968503937,176.24872693882514,5.9,20.669291338582678,108.38989151405303,411.23933831205835,32.28346456692913,62.73213524737039,61.697675112288195,2.3622047244094486
48469,190.48195295918657,14529.470404432494,83.46456692913385,225.86372666799394,15778.496160497474,52.75590551181102,107.25595303976942,360.0,70.86614173228347,222.78742785877975,0.0038122488972211375,50.39370078740158,205.68167697093568,7556.0,26.968503937007874,193.08033753013677,3734,83.85826771653544,262.8794571290951,8.8,71.85039370078741,103.0415669825191,390.94739585595767,28.346456692913385,184.39687884677616,181.35615307762478,38.188976377952756
48483,10.778930181239337,822.1888983536276,20.866141732283463,232.77987154905776,16261.647514905608,56.69291338582677,7.150396869317962,24.0,22.04724409448819,200.64847996464712,0.003433416121484159,33.46456692913386,289.03229831622485,10618.0,92.91338582677166,10.5485776261778,204,25.984251968503937,271.84125680395056,9.1,75.78740157480316,125.1118097839964,474.6835443037975,40.55118110236221,180.99088973027696,178.00632911392404,37.00787401574803
48487,37.36362341246304,2850.0004968452895,49.60629921259842,319.4985781880643,22319.68436718059,89.37007874015748,14.300793738635925,48.0,35.039370078740156,230.70501380672627,0.0039477314448173395,57.874015748031496,230.77941468496462,8478.0,43.7007874015748,19.701019978302654,381,37.00787401574803,230.01952498795822,7.7,60.62992125984252,99.07828495072219,375.91040801942205,27.559055118110237,398.1386946146833,391.57334168689795,92.51968503937007
